Brand,Model,Brand_Encoded,Model_Encoded
Audi,Q5,0,0
Audi,A3,0,1
Audi,A4,0,2
BMW,3 Series,1,0
BMW,5 Series,1,1
BMW,X5,1,2
Chevrolet,Malibu,2,0
Chevrolet,Equinox,2,1
Chevrolet,Impala,2,2
Ford,Explorer,3,0
Ford,Focus,3,1
Ford,Fiesta,3,2
Honda,Accord,4,0
Honda,CR-V,4,1
Honda,Civic,4,2
Hyundai,Tucson,5,0
Hyundai,Elantra,5,1
Hyundai,Sonata,5,2
Kia,Sportage,6,0
Kia,Rio,6,1
Kia,Optima,6,2
Mercedes,GLA,7,0
Mercedes,C-Class,7,1
Mercedes,E-Class,7,2
Toyota,RAV4,8,0
Toyota,Corolla,8,1
Toyota,Camry,8,2
Volkswagen,Golf,9,0
Volkswagen,Passat,9,1
Volkswagen,Tiguan,9,2
